valid_time,wind_speed,t2m_c,sshf,net_radiation,e,number,expver
1988-07-01 06:00:00,6.5087776,25.861767,-1.3692342e+06,5.203397e+07,-0.0048667667,0,0001
1988-08-01 00:00:00,5.909711,25.694887,-1.2571625e+06,5.3199436e+07,-0.004318943,0,0001
1988-08-01 06:00:00,5.903416,25.695072,-1.2562514e+06,5.320891e+07,-0.0043144887,0,0001
1988-09-01 00:00:00,5.129141,25.717941,-1.3469305e+06,5.463175e+07,-0.004291681,0,0001
1988-09-01 06:00:00,5.1195683,25.716164,-1.3476678e+06,5.464332e+07,-0.004291496,0,0001
1988-10-01 00:00:00,3.9804428,25.504526,-1.2962531e+06,5.5621988e+07,-0.003894386,0,0001
1988-10-01 06:00:00,3.9836512,25.499657,-1.2958211e+06,5.5630212e+07,-0.003891049,0,0001
1988-11-01 00:00:00,4.3782964,24.900652,-1.4009374e+06,5.4365336e+07,-0.0041448483,0,0001
1988-11-01 06:00:00,4.3750277,24.897438,-1.401792e+06,5.4355052e+07,-0.0041469117,0,0001
1988-12-01 00:00:00,3.986034,24.515068,-1.4171762e+06,5.451827e+07,-0.0039112824,0,0001
1988-12-01 06:00:00,3.987554,24.514286,-1.4173055e+06,5.4519644e+07,-0.0039093024,0,0001
1989-01-01 00:00:00,4.1745434,24.418118,-1.4890728e+06,5.3814204e+07,-0.0040238057,0,0001
1989-01-01 06:00:00,4.1713777,24.422968,-1.4896562e+06,5.3808468e+07,-0.0040247366,0,0001
1989-02-01 00:00:00,3.7819655,25.019678,-1.6423645e+06,5.5571156e+07,-0.0039546806,0,0001
1989-02-01 06:00:00,3.7755218,25.028048,-1.643606e+06,5.558549e+07,-0.003954111,0,0001
1989-03-01 00:00:00,3.0602744,25.957014,-1.6568745e+06,5.6792868e+07,-0.003664828,0,0001
1989-03-01 06:00:00,3.0638232,25.963581,-1.656994e+06,5.6803744e+07,-0.0036622218,0,0001
1989-04-01 00:00:00,3.5003183,26.771236,-1.8522576e+06,5.6484564e+07,-0.0039752023,0,0001
1989-04-01 06:00:00,3.5139747,26.771687,-1.8538451e+06,5.648197e+07,-0.0039777467,0,0001
1989-05-01 00:00:00,5.139087,26.825335,-1.8289592e+06,5.4569212e+07,-0.004596153,0,0001
1989-05-01 06:00:00,5.147256,26.818405,-1.8287501e+06,5.455314e+07,-0.0046013496,0,0001
1989-06-01 00:00:00,6.1519914,25.966082,-1.5780739e+06,5.26421e+07,-0.0048928596,0,0001
1989-06-01 06:00:00,6.154991,25.962467,-1.5760359e+06,5.2626564e+07,-0.00489523,0,0001
1989-07-01 00:00:00,6.511981,25.532446,-1.3575411e+06,5.2109504e+07,-0.004790629,0,0001
1989-07-01 06:00:00,6.513758,25.529757,-1.355705e+06,5.210516e+07,-0.0047897496,0,0001
1989-08-01 00:00:00,6.7323303,25.198933,-1.3280058e+06,5.300407e+07,-0.0045500663,0,0001
1989-08-01 06:00:00,6.7210994,25.199583,-1.3277805e+06,5.301138e+07,-0.0045481175,0,0001
1989-09-01 00:00:00,5.33969,25.27958,-1.3419025e+06,5.468008e+07,-0.0040185647,0,0001
1989-09-01 06:00:00,5.3307853,25.279125,-1.3420174e+06,5.469365e+07,-0.004014259,0,0001
1989-10-01 00:00:00,4.2711234,25.22516,-1.3371304e+06,5.5124652e+07,-0.0038693217,0,0001
1989-10-01 06:00:00,4.2667,25.224865,-1.3370892e+06,5.512827e+07,-0.0038681037,0,0001
1989-11-01 00:00:00,3.722571,25.188591,-1.3112691e+06,5.505866e+07,-0.0037540707,0,0001
1989-11-01 06:00:00,3.7239656,25.18485,-1.3110592e+06,5.5058096e+07,-0.0037531436,0,0001
1989-12-01 00:00:00,3.889932,24.73979,-1.3813032e+06,5.39454e+07,-0.0039649038,0,0001
1989-12-01 06:00:00,3.891822,24.739975,-1.3818935e+06,5.393605e+07,-0.003966683,0,0001
1990-01-01 00:00:00,4.1243176,24.762754,-1.4631289e+06,5.4636844e+07,-0.0039105862,0,0001
1990-01-01 06:00:00,4.114388,24.769636,-1.4637894e+06,5.464254e+07,-0.0039101304,0,0001
1990-02-01 00:00:00,2.893058,25.616034,-1.4484601e+06,5.5864892e+07,-0.0033692946,0,0001
1990-02-01 06:00:00,2.891878,25.621065,-1.4483355e+06,5.5874828e+07,-0.0033648976,0,0001
1990-03-01 00:00:00,2.760882,26.179478,-1.656038e+06,5.6774084e+07,-0.0036862877,0,0001
1990-03-01 06:00:00,2.7664003,26.186155,-1.6579092e+06,5.6782184e+07,-0.0036891832,0,0001
1990-04-01 00:00:00,3.4451776,27.007399,-1.8005698e+06,5.6399948e+07,-0.0038739075,0,0001
1990-04-01 06:00:00,3.4569705,27.007803,-1.8017296e+06,5.639684e+07,-0.0038754093,0,0001
1990-05-01 00:00:00,4.8603244,27.055946,-1.695968e+06,5.461572e+07,-0.004569158,0,0001
1990-05-01 06:00:00,4.8743944,27.049578,-1.6950792e+06,5.460075e+07,-0.0045749876,0,0001
1990-06-01 00:00:00,6.6049795,26.266146,-1.4517781e+06,5.2649244e+07,-0.004844456,0,0001
1990-06-01 06:00:00,6.600898,26.260601,-1.4498001e+06,5.263338e+07,-0.004846647,0,0001
1990-07-01 00:00:00,6.115163,25.600782,-1.3314788e+06,5.2156096e+07,-0.0045832074,0,0001
1990-07-01 06:00:00,6.118871,25.599127,-1.3304845e+06,5.2152084e+07,-0.0045809937,0,0001
1990-08-01 00:00:00,6.5750217,25.395563,-1.4245911e+06,5.3231184e+07,-0.0047278097,0,0001
1990-08-01 06:00:00,6.567003,25.395485,-1.4253562e+06,5.3239956e+07,-0.004729003,0,0001
1990-09-01 00:00:00,5.580691,25.385944,-1.3068311e+06,5.470753e+07,-0.004047011,0,0001
1990-09-01 06:00:00,5.566285,25.385859,-1.3058675e+06,5.471946e+07,-0.0040414664,0,0001
1990-10-01 00:00:00,3.851985,25.375628,-1.2745189e+06,5.5164196e+07,-0.0037852228,0,0001
1990-10-01 06:00:00,3.8507595,25.374765,-1.2742555e+06,5.5167932e+07,-0.0037830696,0,0001
1990-11-01 00:00:00,3.7000198,25.2687,-1.257753e+06,5.504786e+07,-0.0037920622,0,0001
1990-11-01 06:00:00,3.7000456,25.265598,-1.2576189e+06,5.5046884e+07,-0.0037921353,0,0001
1990-12-01 00:00:00,3.703106,24.89655,-1.3454859e+06,5.4426708e+07,-0.00376528,0,0001
1990-12-01 06:00:00,3.7056718,24.89651,-1.3462242e+06,5.4421496e+07,-0.0037650543,0,0001
1991-01-01 00:00:00,4.0212765,24.891613,-1.5010225e+06,5.465509e+07,-0.0039332006,0,0001
1991-01-01 06:00:00,4.018873,24.896393,-1.502281e+06,5.4656988e+07,-0.003934568,0,0001
1991-02-01 00:00:00,3.7232451,25.484306,-1.5878321e+06,5.605527e+07,-0.003928001,0,0001
1991-02-01 06:00:00,3.7187433,25.493496,-1.5885276e+06,5.606664e+07,-0.0039279475,0,0001
1991-03-01 00:00:00,3.2190468,26.5136,-1.710973e+06,5.7266028e+07,-0.0035510687,0,0001
1991-03-01 06:00:00,3.2190626,26.518635,-1.7120761e+06,5.727683e+07,-0.0035476733,0,0001
1991-04-01 00:00:00,3.2209902,27.13798,-1.8420991e+06,5.6705796e+07,-0.0038860019,0,0001
1991-04-01 06:00:00,3.2269425,27.139046,-1.8431562e+06,5.670115e+07,-0.0038887525,0,0001
1991-05-01 00:00:00,3.9352605,27.26602,-1.7277461e+06,5.5332732e+07,-0.0038173872,0,0001
1991-05-01 06:00:00,3.9483192,27.260532,-1.7267762e+06,5.532123e+07,-0.0038167874,0,0001
1991-06-01 00:00:00,5.5545444,26.585564,-1.4391772e+06,5.288083e+07,-0.0046488256,0,0001
1991-06-01 06:00:00,5.5627728,26.579586,-1.436839e+06,5.286099e+07,-0.0046555903,0,0001
1991-07-01 00:00:00,6.5419455,25.868227,-1.3989666e+06,5.20347e+07,-0.0050195837,0,0001
